longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool
4.4293643,50.8541241,Rent,775,Appartment,FlatStudio,40088,1200,2016,Excellent,44,0,1,True,,,Immediately,Brussels,avenue du yorkshire,24,,,,,,
4.3129001,50.865772,Rent,750,Appartment,Flat,28427,1081,,,50,,1,,3,,,Brussels,"avenue de la basilique,",371,,,,,,
4.398463,50.85721,Rent,950,Appartment,Flat,46469,1030,1967,Normal,36,,1,True,25,False,On contract,Brussels,rue paul hymans,9,,,,,,
4.3333333,50.8,Rent,2650,Appartment,Flat,33267,1180,2017,Excellent,134,3,1,True,,True,From 14/09/2026,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,1050,Appartment,Flat,40088,1050,,Normal,62,1,1,True,,True,,Brussels,,,,,,,,
4.4085884,50.8391094,Rent,900,Appartment,FlatStudio,40088,1200,1979,Normal,51,1,1,True,5,False,,Brussels,boulevard brand whitlock,18,,,10590,,,
4.37668792,50.68279705,Rent,850,Appartment,FlatStudio,42991,1050,2018,,45,,1,True,,False,Immediately,Brussels,rue de la croix,6,,,,,,
4.3166667,50.8,Rent,1350,Appartment,Flat,44115,1190,,Excellent,91,2,1,,,False,Immediately,Brussels,,,,,,,,
4.4521378,50.8588065,Rent,950,Appartment,FlatStudio,0,1200,,Excellent,39,0,1,,1,,,Brussels,lennekemarelaan,34,,,,,,
4.4073471,50.8758572,Rent,850,Appartment,FlatStudio,46605,1140,2019,Normal,40,0,1,True,,False,,Brussels,avenue louis piérard,57,,,4563,,,
4.38528,50.81446,Rent,1350,Appartment,Flat,43065,1050,,Normal,100,1,1,True,,,Immediately,Brussels,avenue armand huysmans,34,,,,,,
4.3820755,50.8247667,Rent,3350,House,House,44165,1050,,Excellent,230,4,3,False,,False,,Brussels,rue adolphe mathieu,50,,,,55,,
4.37513275,50.79086565,Rent,1700,Appartment,Flat,38513,1180,,Normal,95,2,2,True,10,False,Immediately,Brussels,chaussée de waterloo,1322,,,,,,
4.3253386,50.8151205,Rent,2500,Appartment,Flat,47577,1190,,New,140,3,2,True,15,False,Immediately,Brussels,avenue des tropiques,24,,,,,,
4.3121604,50.8686577,Rent,995,Appartment,Flat,46371,1083,,Normal,80,2,1,False,,False,,Brussels,avenue charles-quint,48,,,,,,
4.3899992,50.8305664,Rent,1490,Appartment,Flat,37194,1040,,New,70,1,1,False,,False,Immediately,Brussels,armand steurs,17,,,,,,
4.3431374,50.8522335,Rent,1350,Appartment,Flat,46371,1000,,Normal,75,2,1,False,,False,,Brussels,rue antoine dansaert,142,,,,,,
4.3766927,50.8235717,Rent,850,Appartment,Flat,40102,1050,,,40,1,,,,,,Brussels,,,,,,,,
4.3675105,50.8448575,Rent,2900,Appartment,Flat,27214,1000,1956,Excellent,260,3,3,True,3,False,,Brussels,boulevard du régent,29,1,,57020,,,
4.4064806,50.8442379,Rent,1400,Appartment,Flat,27466,1200,,New,77,1,1,False,,True,Immediately,Brussels,avenue marie-josé,164,,,11964,,,
4.3899992,50.8305664,Rent,1490,Appartment,Penthouse,37194,1040,,New,60,1,1,False,16,False,Immediately,Brussels,armand steurs,17,,,,,,
4.3772104,50.8535374,Rent,1350,Appartment,Flat,37194,1040,1932,Fully renovated,80,1,1,False,3,False,Immediately,Brussels,square armand steurs,17,,,,,,
4.3515499,50.8427501,Rent,900,Appartment,Flat,40102,1000,,,70,1,,,,,From 01/09/2026,Brussels,,,,,,,,
4.3899992,50.8305664,Rent,1350,Appartment,Flat,37194,1040,,New,80,1,1,False,4,False,Immediately,Brussels,armand steurs,17,,,,,,
4.3590349,50.8673668,Rent,1650,Appartment,Flat,49251,1000,,,50,,,,,,,Brussels,chaussée d'anvers brussels,,,,,,False,
4.3287442,50.874201,Rent,1200,Appartment,Flat,39656,1090,1900,New,76,1,1,False,30,False,Immediately,Brussels,rue paul michiels,45,,,16895,,,
4.3452691,50.8517903,Rent,1550,Appartment,Flat,38609,1000,1931,Normal,104,2,1,True,,,Negotiable,Brussels,rue léon lepage,19,,,13048,,,
4.3591797,50.8501194,Rent,760,Appartment,FlatStudio,40389,1000,2000,Normal,25,0,,True,,True,Immediately,Brussels,rue saint-laurent,2,,,,,,
4.3960218,50.8438739,Rent,1450,Appartment,Flat,27214,1030,1970,Excellent,70,2,1,False,7,False,Immediately,Brussels,rue du noyer,342,,,16528,,,
4.4031428,50.8102354,Rent,1200,Appartment,Flat,46605,1170,,Excellent,97,2,1,True,20,False,,Brussels,avenue de la sauvagine,1,,,,,,
4.3333333,50.8,Rent,1400,Appartment,Flat,39905,1180,1952,Excellent,97,1,1,True,,False,,Brussels,,,,,13990,,,
4.388949,50.832177,Rent,960,Appartment,Flat,27212,1040,,,35,1,1,True,,True,,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,1090,Appartment,GroundFloor,27212,1050,,,58,1,1,False,10,False,Immediately,Brussels,,,,,,,,
4.3952354,50.8294202,Rent,1150,Appartment,Flat,46472,1040,,,,,,,,True,From 14/09/2026,Brussels,rue général fivé etterbeek,,,,,,False,
4.40719,50.83205,Rent,4200,Appartment,Flat,43065,1040,1932,Excellent,220,3,3,True,,,Immediately,Brussels,avenue nestor plissart,6,,,,,,
4.3766927,50.8235717,Rent,1500,Appartment,Flat,38329,1050,,Normal,65,2,,False,4,True,From 04/08/2026,Brussels,,,,,,,,
4.388949,50.832177,Rent,500,Appartment,Flat,27212,1040,,,13,1,,False,,True,Immediately,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,2100,Appartment,Flat,38329,1050,,Normal,200,3,1,False,15,True,From 16/08/2026,Brussels,,,,,,,,
4.38263,50.83382,Rent,700,Appartment,Flat,46472,1040,,,,1,,,,True,From 15/09/2026,Brussels,rue de l'orient etterbeek,,,,,,False,
4.3593,50.82003,Rent,1200,Appartment,Flat,43065,1050,,Normal,86,1,1,,,,From 31/08/2026,Brussels,avenue louis lepoutre elsene,,,,,,,
4.414715,50.800919,Rent,1850,House,House,48985,1170,1958,Normal,162,3,1,,,,Immediately,Brussels,,,,,,,,
4.2975122,50.8491177,Rent,895,Appartment,Flat,46472,1080,,,,,,,,True,From 18/06/2026,Brussels,rue du menuet sint-jans-molenbeek,,,,,,False,
4.3943399,50.8428198,Rent,5995,House,House,43761,1000,1896,Excellent,467,7,4,False,15,False,,Brussels,avenue de la renaissance,46,1,,,50,,
4.3819028,50.8588958,Rent,990,Appartment,Flat,46472,1030,,,,,,,,True,From 30/08/2026,Brussels,avenue général eisenhower schaarbeek,,,,,,False,
4.35531,50.8412,Rent,2800,Appartment,Loft,43065,1000,,Normal,248,3,1,,,,Immediately,Brussels,rue sainte-anne,40,,,,,,
4.388949,50.832177,Rent,850,Appartment,Flat,27212,1040,,,22,1,1,False,,True,Immediately,Brussels,,,,,,,,
4.4113336,50.8239365,Rent,1900,House,MixedBuilding,46472,1150,,,,,,,,True,From 03/09/2026,Brussels,avenue des eperviers sint-pieters-woluwe,,,80,,,False,
4.388949,50.832177,Rent,850,Appartment,FlatStudio,27212,1040,,,22,1,1,False,,True,Immediately,Brussels,,,,,,,,
4.4247989,50.8012683,Rent,1100,Appartment,FlatStudio,40959,1170,2025,New,48,,1,True,,True,,Brussels,boulevard du souverain,17,1,,,19,,
4.388949,50.832177,Rent,1030,Appartment,Flat,27212,1040,,,80,1,,False,,False,From 16/07/2026,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,4250,House,House,48985,1050,1920,Excellent,347,4,,,,,From 05/07/2026,Brussels,,,,100,,80,,
4.423892,50.842365,Rent,900,Appartment,FlatStudio,27212,1200,2026,New,38,,,True,,False,Immediately,Brussels,,,,,,,,
4.388949,50.832177,Rent,1100,Appartment,Flat,27212,1040,,,37,1,1,False,,True,Immediately,Brussels,,,,,,,,
4.37727,50.86744,Rent,950,Appartment,Flat,27212,1030,,,60,1,1,False,,False,From 01/07/2026,Brussels,,,,,,,,
4.3333333,50.8,Rent,1300,Appartment,Duplex,39905,1180,1970,Excellent,63,2,1,False,,False,,Brussels,,,,,8561,,,
4.3766927,50.8235717,Rent,1070,House,House,27212,1050,,,78,2,1,False,,False,Immediately,Brussels,,,,,,,,
4.397239,50.8324969,Rent,995,Appartment,Flat,27212,1040,,,65,1,1,True,4,False,From 01/08/2026,Brussels,place du roi vainqueur,28,,,,,,
4.3545295,50.7959871,Rent,1790,Appartment,Flat,40457,1180,,Normal,135,3,2,True,20,False,,Brussels,rue françois folie,30,,,18415,,,
4.3765505,50.8459488,Rent,1060,Appartment,FlatStudio,37194,1040,1890,Excellent,30,0,1,False,,True,,Brussels,rue philippe le bon,13,,,,,,
4.3766927,50.8235717,Rent,1090,Appartment,Flat,27212,1050,,,58,1,1,False,10,False,Immediately,Brussels,,,,,,,,
4.3751945,50.8469369,Rent,1395,Appartment,Flat,37194,1040,1913,Excellent,45,1,1,False,4,True,Immediately,Brussels,rue du marteau,72,,,,,,
4.3402184,50.8301436,Rent,2140,Appartment,Flat,39905,1060,1958,Excellent,137,3,3,True,32,False,,Brussels,,,,,24968,,,
4.3750976,50.8428636,Rent,1050,Appartment,FlatStudio,27212,1040,,,35,1,,True,,False,Immediately,Brussels,rue de trèves,104,,,,,,
4.388949,50.832177,Rent,960,Appartment,FlatStudio,27212,1040,,,35,1,1,True,,True,,Brussels,,,,,,,,
4.388949,50.832177,Rent,1150,Appartment,Flat,27212,1040,,,43,1,,False,15,True,Immediately,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,800,Appartment,FlatStudio,27212,1050,,,25,1,,False,,False,Immediately,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,900,Appartment,FlatStudio,27212,1050,1972,,42,,1,True,,True,From 01/07/2026,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,1400,Appartment,Penthouse,39905,1050,1910,Excellent,78,2,1,False,5,False,,Brussels,,,,,68128,,,
4.3766927,50.8235717,Rent,1750,Appartment,Flat,40457,1050,,Normal,92,2,2,False,,,,Brussels,,,,,13403,,,
4.3333333,50.8,Rent,1350,Appartment,Duplex,39905,1180,1970,Excellent,63,2,1,False,,True,,Brussels,,,,,8561,,,
4.3766927,50.8235717,Rent,625,Appartment,FlatStudio,27212,1050,,Normal,20,,,False,,False,Immediately,Brussels,,,,,,,,
4.4077782,50.8159937,Rent,770,Appartment,FlatStudio,40213,1160,2015,New,45,,,False,,True,From 04/06/2026,Brussels,rue maurice charlent,53,,,,,,
4.437183,50.8428476,Rent,1725,Appartment,Flat,27612,1200,2023,Excellent,90,2,2,True,7,False,,Brussels,boulevard de la woluwe,64,,,,,,
4.3515499,50.8427501,Rent,1350,Appartment,Flat,27214,1000,2013,Excellent,89,2,1,True,7,True,Immediately,Brussels,,,1,,9162,,,
4.3766927,50.8235717,Rent,1100,Appartment,Flat,39905,1050,1910,Excellent,55,1,1,False,,False,Immediately,Brussels,,,,,55898,,,
4.3971335,50.8475986,Rent,1450,Appartment,Flat,46371,1030,2024,New,70,1,1,True,10,False,Immediately,Brussels,avenue de roodebeek,21,,,,,,
4.3766927,50.8235717,Rent,1660,Appartment,Flat,37194,1050,1869,Excellent,91,2,1,False,,True,,Brussels,,,,,,,,
4.4127178,50.8578254,Rent,1595,House,House,27484,1140,,Normal,138,3,1,,,,Immediately,Brussels,avenue léon grosjean,19,,,21481,,,
4.3766927,50.8235717,Rent,2100,Appartment,Flat,40044,1050,2006,,91,2,1,True,10,False,From 01/07/2026,Brussels,,,,,,,,
4.388949,50.832177,Rent,990,Appartment,Flat,39602,1040,,,67,,,,,,,Brussels,,,,,,,,
4.3099356,50.8636285,Rent,1050,Appartment,GroundFloor,40081,1080,,Excellent,50,1,1,False,15,False,Immediately,Brussels,avenue edouard bénès,160,,,,50,,
4.3515499,50.8427501,Rent,1575,Appartment,Flat,37194,1000,1940,Excellent,70,2,1,False,,True,,Brussels,,,,,,,,
4.3971335,50.8475986,Rent,1700,Appartment,Flat,46371,1030,2024,New,86,2,1,True,17,False,Immediately,Brussels,avenue de roodebeek,21,,,,,,
4.3554226,50.8411909,Rent,2800,Appartment,Loft,49242,1000,,Excellent,248,3,1,False,,False,Immediately,Brussels,rue sainte-anne,40,,,,,,
4.3333333,50.8,Rent,1690,Appartment,Flat,40044,1180,1960,,90,2,1,False,,True,From 01/08/2026,Brussels,,,,,,,,
4.3333333,50.8,Rent,2650,Appartment,Flat,49237,1180,,Excellent,200,5,3,True,10,False,On contract,Brussels,,,1,,,,,
